ID	HPO_Terms	Diagnostic_Genes
Congenital muscular dystrophy due to LMNA mutation	HP:0011675; HP:0003198; HP:0001635; HP:0003457; HP:0003327; HP:0000774; HP:0003307; HP:0001288; HP:0001883; HP:0002421; HP:0003202; HP:0001371; HP:0005692; HP:0004326; HP:0002093; HP:0001522; HP:0011968; HP:0001252; HP:0001263; HP:0001376; HP:0003306	LMNA
Phenylketonuria	HP:0032351; HP:0000252; HP:0000708; HP:0000938; HP:0000964; HP:0001010; HP:0001250; HP:0001328; HP:0002353; HP:0002500; HP:0004923; HP:0010864; HP:0410021; HP:0000716; HP:0000726; HP:0000736; HP:0000739; HP:0001251; HP:0001298; HP:0001337; HP:0002061; HP:0030680; HP:0100704	NONE
Adenohypophysitis	HP:0000871; HP:0000141; HP:0000622; HP:0000802; HP:0000870; HP:0000980; HP:0001278; HP:0001895; HP:0002018; HP:0002315; HP:0003158; HP:0007987; HP:0008163; HP:0008213; HP:0008214; HP:0008240; HP:0008245; HP:0011735; HP:0011748; HP:0012504; HP:0012696; HP:0030018; HP:0040171; HP:0040306; HP:0000407; HP:0000651; HP:0000872; HP:0002902; HP:0003493; HP:0004396; HP:0007041; HP:0008202	NONE
Glycogen storage disease due to muscle glycogen phosphorylase deficiency	HP:0003236; HP:0003546; HP:0009051; HP:0030231; HP:0030234; HP:0003201; HP:0003652; HP:0003710; HP:0008305; HP:0040319; HP:0001324; HP:0001639; HP:0001649; HP:0001919; HP:0002875; HP:0003202; HP:0003738; HP:0008967; HP:0009073; HP:0012378; HP:0030973; HP:0002015; HP:0005216; HP:0012622	PYGM
Feingold syndrome	HP:0000202; HP:0000252; HP:0000347; HP:0000407; HP:0000463; HP:0001156; HP:0001249; HP:0001643; HP:0001734; HP:0001743; HP:0001770; HP:0001822; HP:0002032; HP:0002247; HP:0003312; HP:0004209; HP:0004322; HP:0005280; HP:0008572; HP:0009468; HP:0012745	NONE
Mitochondrial myopathy-lactic acidosis-deafness syndrome	HP:0000407; HP:0001250; HP:0001942; HP:0003198; HP:0003202; HP:0003348; HP:0003457; HP:0003737; HP:0004320	NONE
Renal nutcracker syndrome	HP:0000093; HP:0000790; HP:0001920; HP:0002619; HP:0011934; HP:0012871; HP:0030157; HP:0001903; HP:0002907; HP:0012378; HP:0100677; HP:0000789; HP:0001278; HP:0001279; HP:0001649; HP:0001824; HP:0002018; HP:0002027; HP:0012332; HP:0030016; HP:0100607	NONE
KRT1-related diffuse nonepidermolytic keratoderma	HP:0007404; HP:0007447; HP:0000958; HP:0001551; HP:0010783; HP:0012203; HP:0001047; HP:0001598; HP:0004690; HP:0006203; HP:0007446; HP:0025524; HP:0032523; HP:0032541; HP:0040189	KRT1
Tetrasomy 5p	HP:0001250; HP:0001263; HP:0001319; HP:0001321; HP:0001635; HP:0001845; HP:0002092; HP:0003196; HP:0006931; HP:0011800; HP:0012368; HP:0100807; HP:0000316; HP:0000343; HP:0000369; HP:0000431; HP:0000470; HP:0000582; HP:0001508; HP:0001762; HP:0002098; HP:0002205; HP:0004209; HP:0004467; HP:0005989; HP:0008897; HP:0010109; HP:0030148; HP:0000218; HP:0000260; HP:0000286; HP:0001612; HP:0002089; HP:0007483; HP:0010318; HP:0000238; HP:0000256; HP:0000280; HP:0000293; HP:0000347; HP:0000358; HP:0000463; HP:0000767; HP:0000961	NONE
Chikungunya	HP:0001945; HP:0002829; HP:0012378; HP:0000745; HP:0000988; HP:0001369; HP:0001386; HP:0001387; HP:0002315; HP:0003326; HP:0005198; HP:0007483; HP:0010741; HP:0010783; HP:0012733; HP:0030834; HP:0030839; HP:0040186; HP:0000225; HP:0000282; HP:0000421; HP:0000613; HP:0000716; HP:0000967; HP:0000989; HP:0000992; HP:0001892; HP:0002013; HP:0002014; HP:0007473; HP:0008066; HP:0009830; HP:0012219; HP:0025143; HP:0025232; HP:0025289; HP:0025337; HP:0032063; HP:0040165; HP:0100686; HP:0100769; HP:0200037; HP:0001250; HP:0002383; HP:0002716; HP:0002797; HP:0003401; HP:0003406; HP:0012185; HP:0030880; HP:0031002	NONE
HJV or HAMP-related hemochromatosis	HP:0000135; HP:0000802; HP:0000819; HP:0000939; HP:0001254; HP:0001324; HP:0001644; HP:0002612; HP:0002910; HP:0003040; HP:0003281; HP:0007440; HP:0011031; HP:0012093; HP:0012463	HJV; HAMP
Primary peritoneal carcinoma	HP:0002017; HP:0002019; HP:0002027; HP:0002586; HP:0002664; HP:0003270	BRCA1
Hereditary neurocutaneous malformation	HP:0000707; HP:0001028; HP:0001250; HP:0002277	NONE
Histidinuria-renal tubular defect syndrome	HP:0000343; HP:0000400; HP:0000407; HP:0000431; HP:0001249; HP:0001800; HP:0001943; HP:0002119; HP:0002120; HP:0002750; HP:0002927; HP:0005819; HP:0005844; HP:0008666	NONE
"Progressive epilepsy-intellectual disability syndrome, Finnish type"	HP:0011471; HP:0012690; HP:0030890; HP:0000505; HP:0001249; HP:0001250; HP:0001272; HP:0002540; HP:0003204; HP:0003657; HP:0000529; HP:0000543; HP:0000550; HP:0000750; HP:0001251; HP:0002059; HP:0002066; HP:0002123; HP:0002167; HP:0002312; HP:0002317; HP:0002333; HP:0002371; HP:0002510; HP:0003205; HP:0003208; HP:0003698; HP:0005268; HP:0011198; HP:0011203; HP:0030455; HP:0033044; HP:0100543; HP:0000708; HP:0000726; HP:0000729; HP:0001263; HP:0002015; HP:0002359; HP:0002384	CLN8
PLAA-associated neurodevelopmental disorder	HP:0002119; HP:0002267; HP:0002352; HP:0002478; HP:0002509; HP:0002521; HP:0002536; HP:0002808; HP:0003196; HP:0005781; HP:0007514; HP:0008278; HP:0010804; HP:0011968; HP:0012098; HP:0012448; HP:0012762; HP:0031162; HP:0100807; HP:0000407; HP:0000639; HP:0000975; HP:0001250; HP:0002483; HP:0000218; HP:0000252; HP:0000319; HP:0000343; HP:0000347; HP:0000368; HP:0000648; HP:0000750; HP:0000768; HP:0000954; HP:0001007; HP:0001162; HP:0001187; HP:0001249; HP:0001252; HP:0001263; HP:0001283; HP:0001332; HP:0001508; HP:0001830; HP:0001838; HP:0001999; HP:0002063; HP:0002071; HP:0002079; HP:0002093; HP:0002104	PLAA
Summitt syndrome	HP:0000098; HP:0000256; HP:0000275; HP:0000286; HP:0000316; HP:0001156; HP:0001357; HP:0001363; HP:0001513; HP:0002857; HP:0004209; HP:0004279; HP:0005487; HP:0006101; HP:0000445; HP:0000457; HP:0000486; HP:0001249; HP:0010044; HP:0100490	NONE
Non-distal deletion 10q	HP:0000286; HP:0000431; HP:0000486; HP:0000508; HP:0000582; HP:0000664; HP:0001156; HP:0001251; HP:0001252; HP:0001288; HP:0004209; HP:0004422; HP:0007598; HP:0010557; HP:0100543	NONE
Bronchopulmonary dysplasia	HP:0002360; HP:0030828; HP:0002786; HP:0004887; HP:0001667; HP:0006597; HP:0002088; HP:0012252; HP:0100750; HP:0002098; HP:0001708; HP:0002795; HP:0002871; HP:0012419; HP:0002094; HP:0100632; HP:0012735; HP:0006528; HP:0002097; HP:0003546	NONE
"Phocomelia, Schinzel type"	HP:0000175; HP:0001362; HP:0003041; HP:0002023; HP:0003196; HP:0008736; HP:0009103; HP:0100257; HP:0006487; HP:0002575; HP:0002984; HP:0003982; HP:0008517; HP:0000470; HP:0001883; HP:0002986; HP:0000347; HP:0000028; HP:0002164; HP:0002983; HP:0002990; HP:0001849; HP:0002435; HP:0000151; HP:0000411; HP:0002705; HP:0003498; HP:0001789; HP:0002992; HP:0001180	WNT7A
Laryngotracheal angioma	HP:0010307; HP:0002098; HP:0011968; HP:0012735; HP:0030864; HP:0000329; HP:0000750; HP:0000961; HP:0001609; HP:0030828; HP:0002013; HP:0002104; HP:0002360	NONE
MAN1B1-CDG	HP:0001249; HP:0001263; HP:0001999; HP:0008947; HP:0000316; HP:0000369; HP:0000400; HP:0000494; HP:0001256; HP:0001956; HP:0002465; HP:0012301; HP:0012443; HP:0000219; HP:0000268; HP:0000272; HP:0000307; HP:0000319; HP:0000322; HP:0000331; HP:0000431; HP:0000445; HP:0000448; HP:0000470; HP:0000540; HP:0000708; HP:0000717; HP:0000768; HP:0000973; HP:0001250; HP:0001321; HP:0001382; HP:0002007; HP:0002136; HP:0002342; HP:0002591; HP:0003186; HP:0004523; HP:0010801; HP:0010814; HP:0010864; HP:0045075; HP:0000276; HP:0000286; HP:0000527; HP:0002322; HP:0004209; HP:0004691; HP:0005469; HP:0007165; HP:0007565; HP:0012471; HP:0012472	MAN1B1
Senior-Boichis syndrome	HP:0000089; HP:0000108; HP:0000822; HP:0001395; HP:0001396; HP:0001409; HP:0001433; HP:0001959; HP:0002910; HP:0003155; HP:0003573; HP:0004719; HP:0005565; HP:0006563; HP:0006571; HP:0012591; HP:0012622; HP:0020132; HP:0032581; HP:0032622; HP:0000713; HP:0000718; HP:0001394; HP:0001541; HP:0001903; HP:0002040; HP:0002500; HP:0002506; HP:0002612; HP:0003774; HP:0007018; HP:0012163; HP:0012585; HP:0031589	DCDC2; TMEM67
Glutaryl-CoA dehydrogenase deficiency	HP:0002134; HP:0003150; HP:0012379; HP:0001260; HP:0001332; HP:0001334; HP:0002015; HP:0002275; HP:0002305; HP:0002315; HP:0002339; HP:0004481; HP:0007132; HP:0009716; HP:0011968; HP:0012704; HP:0012753; HP:0031982; HP:0040194; HP:0100954; HP:0000573; HP:0000726; HP:0001250; HP:0001251; HP:0001337; HP:0001373; HP:0002063; HP:0002072; HP:0002086; HP:0002119; HP:0002321; HP:0002376; HP:0002451; HP:0002500; HP:0003162; HP:0003546; HP:0006829; HP:0007185; HP:0012469; HP:0100309; HP:0100543; HP:0009830; HP:0012622	GCDH
