ID	HPO_Terms	Diagnostic_Genes
PMID_37951597_Family_11_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0100033; HP:0001251; HP:0000303; HP:0001337; HP:0025403; HP:0002172; HP:0002119; HP:0030302; HP:0001338; HP:0007068	ACBD6
PMID_37951597_Family_23_Subject_2	HP:0001263; HP:0000750	ACBD6
PMID_37951597_Family_1_Subject_1	HP:0007359; HP:0001263; HP:0000750; HP:0031936; HP:0000718; HP:0100716; HP:0025161; HP:0002360; HP:0000280; HP:0025331; HP:0005280; HP:0000445; HP:0000219; HP:0001251; HP:0000303; HP:0000490; HP:0025403; HP:0002061; HP:0001300; HP:0002172; HP:0000969; HP:0000238; HP:0001320; HP:0030302	ACBD6
PMID_37951597_Family_27_Subject_2	HP:0001250; HP:0001263; HP:0000750; HP:0031936; HP:0000729; HP:0000718; HP:0000280; HP:0005280; HP:0000445; HP:0000232; HP:0000219; HP:0100033; HP:0001251; HP:0000490; HP:0001337; HP:0025403; HP:0002061; HP:0001300; HP:0001513	ACBD6
PMID_37951597_Family_15_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0000729; HP:0025161; HP:0002360; HP:0000280; HP:0025331; HP:0005280; HP:0000445; HP:0000232; HP:0001251; HP:0000582; HP:0000490; HP:0001337; HP:0025403; HP:0002061; HP:0002172; HP:0000276	ACBD6
PMID_37951597_Family_22_Subject_2	HP:0001263; HP:0000729	ACBD6
PMID_37951597_Family_4_Subject_1	HP:0002069; HP:0001263; HP:0000750; HP:0001251; HP:0001337; HP:0001257	ACBD6
PMID_37951597_Family_8_Subject_2	HP:0001263; HP:0001344; HP:0031936; HP:0000280; HP:0005280; HP:0000445; HP:0100033; HP:0001251; HP:0025403; HP:0002061; HP:0002172	ACBD6
PMID_37951597_Family_17_Subject_1	HP:0001263; HP:0001344; HP:0000280; HP:0025331; HP:0000219; HP:0001251; HP:0001337; HP:0025403; HP:0002061; HP:0001300; HP:0001274	ACBD6
PMID_37951597_Family_12_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0000232; HP:0000219; HP:0001251; HP:0000303; HP:0000582; HP:0025403; HP:0000175; HP:0000506	ACBD6
PMID_37951597_Family_23_Subject_1	HP:0001250; HP:0001263; HP:0000750; HP:0031936; HP:0000718; HP:0002061	ACBD6
PMID_37951597_Family_20_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0025161; HP:0005280; HP:0000445; HP:0000020; HP:0001251; HP:0000582; HP:0025403; HP:0001332	ACBD6
PMID_37951597_Family_6_Subject_2	HP:0001263; HP:0000750; HP:0031936; HP:0002360; HP:0005280; HP:0000445; HP:0000219; HP:0001251; HP:0000303; HP:0001337; HP:0025403; HP:0001300	ACBD6
PMID_37951597_Family_1_Subject_3	HP:0007359; HP:0001263; HP:0001344; HP:0031936; HP:0000718; HP:0100716; HP:0025161; HP:0002360; HP:0000280; HP:0005280; HP:0000445; HP:0000232; HP:0000219; HP:0000020; HP:0100033; HP:0001251; HP:0000303; HP:0000582; HP:0000490; HP:0025403; HP:0002061; HP:0001300; HP:0001762	ACBD6
PMID_37951597_Family_7_Subject_2	HP:0001263; HP:0000750; HP:0000718; HP:0025161; HP:0002360; HP:0000219; HP:0001251; HP:0001257; HP:0002808; HP:0030048; HP:0001274; HP:0007068	ACBD6
