ID	HPO_Terms	Diagnostic_Genes
SCV001444540	HP:0000268; HP:0002007; HP:0000767; HP:0000028; HP:0000316; HP:0007930; HP:0002194; HP:0000750	RPS6KA3
SCV003807288	HP:0011169; HP:0001250; HP:0030363; HP:0001290; HP:0011167; HP:0002197; HP:0011097; HP:0007359; HP:0012469; HP:0011153	CDKL5
SCV002525683	HP:0000047; HP:0000047; HP:0100600	MAMLD1
SCV005382238	HP:0011675; HP:0001645; HP:0001638	RYR2
SCV000741582	HP:0001263; HP:0000252; HP:0002553; HP:0100876; HP:0000637; HP:0000340; HP:0002002; HP:0003186; HP:0005280; HP:0001276	ATRX
SCV002762672	HP:0003645	KLKB1
SCV004100528	HP:0007074	VLDLR
SCV002525628	HP:0008619; HP:0000238; HP:0001363; HP:0032064	FGFR2
SCV000740779	HP:0001166; HP:0001555; HP:0012771; HP:0000678; HP:0002705; HP:0002650; HP:0002808; HP:0001763; HP:0001382; HP:0000473; HP:0000324; HP:0002616; HP:0010648; HP:0005598; HP:0001649; HP:0001279; HP:0000822; HP:0005293; HP:0007394; HP:0000545; HP:0000572; HP:0002108; HP:0000010; HP:0000020; HP:0000405; HP:0002926; HP:0009797; HP:0007099; HP:0004944; HP:0004938; HP:0002315; HP:0001250; HP:0002354; HP:0002321; HP:0009830; HP:0003549	THRB
SCV002073109	HP:0001871	GPI
SCV004363633	HP:0001250; HP:0000750; HP:0002373; HP:0000218; HP:0000275	SCN1A
SCV001448069	HP:0001251	PRKCG
SCV001762033	HP:0001894	MPL
SCV005329471	HP:0001871	HBB
SCV005368321	HP:0003447; HP:0007354; HP:0002273; HP:0001271	SOD1
SCV001446998	HP:0001258; HP:0003552	GLRA1
SCV002578100	HP:0001297	FGB
SCV004100742	HP:0040217; HP:0004904	GCK
SCV005382143	HP:0001917	FGA
SCV003804908	HP:0008357	F13A1
SCV004176576	HP:0000951	ENG
SCV003807078	HP:0001744; HP:0001878	HBB
SCV001448150	HP:0000703	DSPP
SCV003807717	HP:0000062; HP:0000061; HP:0001513; HP:0008072; HP:0004324	CYP19A1
SCV001792243	HP:0000407	ACTG1
SCV000999324	HP:0001249	ASPM
SCV005419402	HP:0010307; HP:0001604; HP:0002878; HP:0000775; HP:0002092; HP:0002098; HP:0040213; HP:0003473; HP:0030319	CHRNB1
SCV000267100	HP:0001999; HP:0004554; HP:0000973; HP:0000023; HP:0006829; HP:0002521; HP:0001433; HP:0002910; HP:0000612; HP:0000501; HP:0007957; HP:0002119; HP:0012758	SRD5A3
SCV001162824	HP:0002460; HP:0002093; HP:0007141	SH3TC2
SCV001445687	HP:0002667; HP:0000750; HP:0000256; HP:0011220; HP:0011800; HP:0000494; HP:0000527; HP:0000574; HP:0000286; HP:0000592; HP:0000446; HP:0000414; HP:0000343; HP:0000358; HP:0400004; HP:0000369; HP:0000307; HP:0002209; HP:0100807; HP:0001488; HP:0001212; HP:0008388; HP:0002019; HP:0000822; HP:0002118	BMP4
SCV001445716	HP:0000572; HP:0002315; HP:0000739; HP:0000716; HP:0001288; HP:0000574; HP:0000219; HP:0003196; HP:0000337; HP:0002027; HP:0000293; HP:0000577; HP:0002013; HP:0006901; HP:0000587; HP:0012443; HP:0000775	KDM5C
SCV002525617	HP:0012721	TEK
SCV001190197	HP:0002720; HP:0002841; HP:0005407; HP:0005415; HP:0002850	STAT1
SCV002522326	HP:0000252	GATA6
SCV000891749	HP:0000316; HP:0001028; HP:0005164; HP:0000126; HP:0006610; HP:0001631; HP:0001629; HP:0001643; HP:0001642	GATA6
SCV000741480	HP:0001263; HP:0000252; HP:0001629; HP:0000776; HP:0002020; HP:0001508; HP:0012523; HP:0011968; HP:0002080; HP:0002553; HP:0000494; HP:0005280; HP:0002714; HP:0000278; HP:0011937	SMARCA4
SCV004100378	HP:0001268; HP:0000708; HP:0001250; HP:0002067; HP:0001336; HP:0001332	PSEN1
SCV001446807	HP:0001257; HP:0010551; HP:0100543	PSEN1
SCV003806919	HP:0002510; HP:0002069; HP:0011344; HP:0002194; HP:0002445; HP:0012736; HP:0001257; HP:0030363; HP:0001250; HP:0000750; HP:0010862; HP:0002197; HP:0001270; HP:0001344; HP:0002342; HP:0001263	GALC
SCV001482024	HP:0001263; HP:0001250; HP:0012443; HP:0002415; HP:0000486; HP:0001288; HP:0002064; HP:0002061; HP:0001337; HP:0000494; HP:0000448; HP:0011833; HP:0002346; HP:0000322; HP:0000490; HP:0000601; HP:0000954; HP:0001761; HP:0003251	L2HGDH
SCV000583530	HP:0001355; HP:0012736; HP:0010864; HP:0011220; HP:0002236; HP:0000431; HP:0000369; HP:0011138; HP:0001338; HP:0002389	FOXP1
SCV001447011	HP:0000750; HP:0001252; HP:0001263; HP:0030190	FOXP1
SCV000992552	HP:0001531; HP:0000316; HP:0000341; HP:0001007; HP:0000218; HP:0002089; HP:0001655; HP:0000347; HP:0000271; HP:0000319; HP:0001188; HP:0040064; HP:0000431; HP:0007413; HP:0002509; HP:0000237; HP:0008572; HP:0009894; HP:0012443; HP:0000365; HP:0001642; HP:0001028; HP:0000356; HP:0001597; HP:0010557; HP:0001000; HP:0000126; HP:0008551; HP:0005487; HP:0001812	ASXL1
SCV004027724	HP:0011003; HP:0000077; HP:0002099; HP:0000546; HP:0000556; HP:0000486; HP:0000662	GPR179
SCV001447814	HP:0001263; HP:0001298; HP:0002059	TTC19
SCV001449010	HP:0001250; HP:0001251; HP:0100021; HP:0008936; HP:0002509; HP:0001344; HP:0007328; HP:0000717; HP:0001263; HP:0000629; HP:0000577; HP:0000505; HP:0001156; HP:0004209; HP:0001761	BPNT2
SCV000741268	HP:0000767; HP:0004322; HP:0001634; HP:0001263; HP:0001249; HP:0000729; HP:0000717; HP:0001252; HP:0000276; HP:0000286; HP:0008551; HP:0000545; HP:0001344	NSUN2
SCV000992217	HP:0002666	MAX
SCV005438687	HP:0000078	WNT5A
SCV000999335	HP:0008398; HP:0000752; HP:0000218; HP:0004554; HP:0000431; HP:0001631; HP:0001344; HP:0002751; HP:0000527; HP:0000343; HP:0002719; HP:0011344; HP:0011937; HP:0000179; HP:0000574; HP:0002209; HP:0011968	ARID1A
SCV005368517	HP:0001385; HP:0002650	SMAD3
