ID	HPO_Terms	Diagnostic_Genes
D_262547	HP:0000032; HP:0100022; HP:0000248; HP:0001266; HP:0000490; HP:0001263; HP:0000639	AHDC1
D_262553	HP:0001641; HP:0000248; HP:0002019; HP:0000964; HP:0000612; HP:0000252; HP:0000347; HP:0004322	DYRK1A
D_295324	HP:0000717; HP:0007328; HP:0011343; HP:0011407	DLG4
D_262560	HP:0000750; HP:0001263; HP:0000218; HP:0000276; HP:0001566	SATB2
D_262565	HP:0001197; HP:0005280; HP:0002307; HP:0000286; HP:0002349; HP:0001263; HP:0001319; HP:0001328; HP:0003741	PURA
D_262573	HP:0007328; HP:0009747; HP:0000252; HP:0002360; HP:0000664; HP:0000098; HP:0006919	MYT1L
D_262578	HP:0001251; HP:0001321; HP:0000750; HP:0000252; HP:0001876; HP:0001863	PARN
D_262579	HP:0100543; HP:0000519; HP:0002553; HP:0001847; HP:0000369; HP:0011220; HP:0000411	CRYAA
D_262586	HP:0100704; HP:0000028; HP:0001263; HP:0001513; HP:0002360; HP:0007965	CEP290
D_459210	HP:0011695; HP:0001263; HP:0011611; HP:0000648; HP:0006970	COL4A2
D_328153	HP:0011968; HP:0001212; HP:0000486; HP:0002474; HP:0001263; HP:0001629; HP:0040180; HP:0008070; HP:0004322; HP:0006610	MAP2K1
D_295389	HP:0006136; HP:0011802; HP:0000252; HP:0008598; HP:0011344; HP:0000200; HP:0000199; HP:0011398	DDX59
D_295399	HP:0000028; HP:0001433; HP:0000408; HP:0011220; HP:0001629	PTPN11
D_295400	HP:0002019; HP:0005280; HP:0011097; HP:0007359; HP:0001263; HP:0000316; HP:0000664	WAC
D_360938	HP:0000717; HP:0001290; HP:0001249; HP:0001572; HP:0006304	TRAPPC9
D_262639	HP:0000028; HP:0002188; HP:0008872; HP:0002066; HP:0002020; HP:0001290; HP:0001263; HP:0000540; HP:0001876; HP:0000582	KAT6A
D_295407	HP:0000463; HP:0000494; HP:0002714; HP:0002020; HP:0002123; HP:0002121; HP:0001263; HP:0000736; HP:0000574; HP:0000179	YWHAG
D_295408	HP:0007131; HP:0001301; HP:0002922; HP:0003383; HP:0007544; HP:0007141; HP:0008075	INF2
D_557566	HP:0010950; HP:0007360; HP:0002060; HP:0000252; HP:0001273	TXN2
D_295424	HP:0000256; HP:0001233; HP:0001249; HP:0000486; HP:0002119; HP:0002194; HP:0000494	PTCH1
D_295428	HP:0000324; HP:0000293; HP:0001263; HP:0000316; HP:0001252; HP:0001182	POGZ
D_295431	HP:0004442; HP:0008619; HP:0000347; HP:0000609; HP:0000175; HP:0011344; HP:0004440; HP:0001631	RBM10
D_557577	HP:0002167; HP:0000717; HP:0000752	CIC
D_557580	HP:0000496; HP:0001251; HP:0000748; HP:0001249; HP:0000252; HP:0001250	UBE3A
D_295437	HP:0007598; HP:0000286; HP:0001290; HP:0001382; HP:0011343; HP:0000388; HP:0000307; HP:0002360	EHMT1
D_557581	HP:0100851; HP:0000729; HP:0002376; HP:0001007; HP:0001249; HP:0012758	CAMK2B
D_262671	HP:0007018; HP:0000750; HP:0002474; HP:0001263; HP:0000307; HP:0001583	FMR1
D_262674	HP:0000337; HP:0100021; HP:0001263; HP:0002265; HP:0005484	DDX3X
D_262683	HP:0000337; HP:0010055; HP:0000444; HP:0001263; HP:0000316; HP:0010806	H1-4
D_262684	HP:0010720; HP:0008872; HP:0001510; HP:0008064; HP:0001249; HP:0001382; HP:0000276; HP:0010511; HP:0000400; HP:0001238	KANSL1
D_262688	HP:0001374; HP:0005988; HP:0001263	PPP2R5D
D_262689	HP:0000191; HP:0000677; HP:0004524	MSX1
D_262692	HP:0007361; HP:0001883; HP:0000319; HP:0001999; HP:0004405; HP:0002015; HP:0002307; HP:0001601; HP:0000331; HP:0002996; HP:0001263; HP:0010557; HP:0001988; HP:0005338; HP:0000337; HP:0001182; HP:0009473; HP:0004809	MAGEL2
D_295461	HP:0002308; HP:0100543; HP:0002019; HP:0001263; HP:0000316; HP:0001382; HP:0000252; HP:0001015; HP:0007457	DYNC1H1
D_262694	HP:0001344; HP:0001500; HP:0000494; HP:0006101; HP:0001263; HP:0001763; HP:0000426; HP:0000664; HP:0000179	ASXL3
D_262705	HP:0000248; HP:0012510; HP:0001290; HP:0001263; HP:0006956; HP:0008180	TBCK
D_295482	HP:0009887; HP:0001500; HP:0001256; HP:0002938; HP:0000915; HP:0001773; HP:0009803; HP:0004322; HP:0000664	FBN1
D_262717	HP:0000750; HP:0000821; HP:0001249; HP:0000252; HP:0002360	MED13L
D_262723	HP:0000707; HP:0000356; HP:0004942; HP:0001647; HP:0002194; HP:0000540; HP:0000202	CACNA1E
D_262731	HP:0001999; HP:0010461; HP:0001263; HP:0000256; HP:0001357; HP:0004322	CHD4
D_262732	HP:0001631; HP:0005164; HP:0001263; HP:0000369; HP:0000341	PTPN11
D_295507	HP:0000286; HP:0000256; HP:0011342; HP:0008625; HP:0001831; HP:0001182	ACTG1
D_262744	HP:0001810; HP:0001508; HP:0008872; HP:0001249; HP:0001182	CLCN4
D_262747	HP:0002002; HP:0002188; HP:0000750; HP:0000969; HP:0000286; HP:0001263; HP:0003196	PURA
D_262749	HP:0001305; HP:0000750; HP:0003189; HP:0001054; HP:0000322; HP:0001328	KMT2B
D_262750	HP:0000378; HP:0000750; HP:0000232; HP:0011968; HP:0002230; HP:0001028; HP:0011937; HP:0000527; HP:0000506; HP:0010806	SMARCA4
